ticker,short,long,strategy_cagr,bh_cagr,edge,strategy_sharpe,bh_sharpe,sharpe_edge,strategy_max_drawdown,bh_max_drawdown,round_trip_trades,pct_days_in_market
LIN,5,100,0.06452661444622798,0.15227138810537078,-0.0877447736591428,0.29723240497050785,0.5950695509890489,-0.29783714601854105,-0.26787680346869225,-0.32585072853276914,19.5,72.71084337349397
LIN,5,150,0.08807905386359338,0.15115325886060438,-0.063074204997011,0.41298178615271386,0.5882807116335644,-0.17529892548085058,-0.3230445258679984,-0.32585072853276903,13.5,79.25465838509317
LIN,5,200,0.09737896354136044,0.1510915415635654,-0.05371257802220497,0.4570792399627337,0.5853688932061252,-0.12828965324339148,-0.28305182483288965,-0.32585072853276886,9.5,79.23076923076923
LIN,10,50,0.06077395626444204,0.1576078507733667,-0.09683389450892466,0.2801941444627102,0.6150759126736455,-0.3348817682109353,-0.25420694630082963,-0.3258507285327689,21.0,66.37426900584795
LIN,10,100,0.07706444598320883,0.15227138810537078,-0.07520694212216195,0.3615447088398389,0.5950695509890489,-0.23352484214921,-0.26114385544155777,-0.32585072853276914,14.5,72.40963855421687
LIN,10,150,0.06427538192180182,0.15115325886060438,-0.08687787693880256,0.28696832618680046,0.5882807116335644,-0.301312385446764,-0.34497520369190665,-0.32585072853276903,8.5,80.0
LIN,10,200,0.09263575569661064,0.1510915415635654,-0.05845578586695477,0.42466959082634337,0.5853688932061252,-0.1606993023797818,-0.25918561083044556,-0.32585072853276886,6.5,79.8076923076923
LIN,20,50,0.05447331531110722,0.1576078507733667,-0.10313453546225948,0.24188595477376898,0.6150759126736455,-0.3731899578998765,-0.3380955075211094,-0.3258507285327689,18.5,66.95906432748538
LIN,20,100,0.05061825590470148,0.15227138810537078,-0.1016531322006693,0.21739058587966376,0.5950695509890489,-0.37767896510938515,-0.2689801893259219,-0.32585072853276914,10.5,73.13253012048193
LIN,20,150,0.07311222726624855,0.15115325886060438,-0.07804103159435583,0.3228537227222021,0.5882807116335644,-0.26542698891136235,-0.30786406274741346,-0.32585072853276903,7.5,79.3167701863354
LIN,20,200,0.06621395276257025,0.1510915415635654,-0.08487758880099516,0.28787388888310167,0.5853688932061252,-0.2974950043230235,-0.28980614136001853,-0.32585072853276886,6.5,79.67948717948717
LIN,30,50,0.06631620259415394,0.1576078507733667,-0.09129164817921276,0.30629918363126085,0.6150759126736455,-0.3087767290423846,-0.32964902339353286,-0.3258507285327689,19.5,66.78362573099416
LIN,30,100,0.014873174752864093,0.15227138810537078,-0.13739821335250668,0.02940951917437264,0.5950695509890489,-0.5656600318146763,-0.34715067320641224,-0.32585072853276914,8.5,73.73493975903614
LIN,30,150,0.0663434163719252,0.15115325886060438,-0.08480984248867918,0.2901345515183435,0.5882807116335644,-0.29814616011522094,-0.30014518357201053,-0.32585072853276903,5.5,78.38509316770185
LIN,30,200,0.02842931958886319,0.1510915415635654,-0.12266222197470222,0.10677419386903994,0.5853688932061252,-0.4785946993370852,-0.33711059694934886,-0.32585072853276886,6.5,79.42307692307692
LIN,50,100,0.04365900344482232,0.15227138810537078,-0.10861238466054846,0.1812123866540381,0.5950695509890489,-0.4138571643350108,-0.30268987370788103,-0.32585072853276914,8.5,74.4578313253012
LIN,50,150,0.0398291654155456,0.15115325886060438,-0.11132409344505878,0.16250364196167907,0.5882807116335644,-0.42577706967188533,-0.3309319327592915,-0.32585072853276903,4.5,78.44720496894409
LIN,50,200,0.047409624540786455,0.1510915415635654,-0.10368191702277896,0.19726623071612365,0.5853688932061252,-0.3881026624900015,-0.3258507285327686,-0.32585072853276886,5.5,78.91025641025641
APD,5,50,-0.02390121480717433,0.06827609466378592,-0.09217730947096026,-0.17791694518968762,0.28283679214354057,-0.4607537373332282,-0.5142287796960419,-0.31765690205611985,31.5,55.2046783625731
APD,5,100,0.00850272265503138,0.053586044203487004,-0.045083321548455624,-0.00873544133382284,0.2349996456964566,-0.24373508703027943,-0.363802018093246,-0.31765690205612024,23.5,55.3012048192771
APD,5,150,-0.06244257558827049,0.04217799608484407,-0.10462057167311456,-0.35923285291996404,0.1980415230395934,-0.5572743759595574,-0.4666397347325106,-0.3176569020561204,21.5,58.38509316770186
APD,5,200,-0.0017888908582837093,0.04642221972805127,-0.04821111058633498,-0.038183570365015386,0.2114084727682885,-0.24959204313330388,-0.3852973899663974,-0.31765690205612007,15.5,57.692307692307686
APD,10,50,0.031214783213108444,0.06827609466378592,-0.03706131145067748,0.11284128220618353,0.28283679214354057,-0.16999550993735704,-0.31579933050917525,-0.31765690205611985,23.5,55.906432748538016
APD,10,100,-0.0012415645185630542,0.053586044203487004,-0.05482760872205006,-0.06103946369417772,0.2349996456964566,-0.2960391093906343,-0.382650050002467,-0.31765690205612024,17.5,54.75903614457831
APD,10,150,-0.03315818418594907,0.04217799608484407,-0.07533618027079314,-0.21482291498039413,0.1980415230395934,-0.4128644380199875,-0.35067662876974826,-0.3176569020561204,15.5,58.4472049689441
APD,10,200,0.008855548386531797,0.04642221972805127,-0.037566671341519475,0.0064209892659548296,0.2114084727682885,-0.20498748350233367,-0.37726662464196664,-0.31765690205612007,14.5,57.49999999999999
APD,20,50,-0.011182272647432545,0.06827609466378592,-0.07945836731121847,-0.12663816295848987,0.28283679214354057,-0.40947495510203047,-0.3671327418524782,-0.31765690205611985,21.5,55.08771929824562
APD,20,100,-0.021778851966831936,0.053586044203487004,-0.07536489617031894,-0.16534585976642427,0.2349996456964566,-0.40034550546288084,-0.3314266038476776,-0.31765690205612024,12.5,54.03614457831325
APD,20,150,-0.06081168330295106,0.04217799608484407,-0.10298967938779513,-0.32734704334181336,0.1980415230395934,-0.5253885663814067,-0.43651851872633984,-0.3176569020561204,10.5,58.32298136645962
APD,20,200,-0.0192309718590431,0.04642221972805127,-0.06565319158709437,-0.09987579621914369,0.2114084727682885,-0.3112842689874322,-0.3761517882219634,-0.31765690205612007,9.5,58.782051282051285
APD,30,50,0.019781275326656633,0.06827609466378592,-0.04849481933712929,0.06026974275640896,0.28283679214354057,-0.22256704938713162,-0.33902067904975636,-0.31765690205611985,22.5,53.09941520467836
APD,30,100,-0.03242446450072323,0.053586044203487004,-0.08601050870421023,-0.18673749797796999,0.2349996456964566,-0.4217371436744266,-0.38223082340074355,-0.31765690205612024,11.5,54.93975903614457
APD,30,150,-0.09185883992503263,0.04217799608484407,-0.1340368360098767,-0.458451415983077,0.1980415230395934,-0.6564929390226704,-0.5484654239766045,-0.3176569020561204,10.5,58.94409937888199
APD,30,200,-0.049923470437890693,0.04642221972805127,-0.09634569016594197,-0.22571239481474625,0.2114084727682885,-0.43712086758303476,-0.4216268809091562,-0.31765690205612007,9.5,59.87179487179487
APD,50,100,-0.010210808818157835,0.053586044203487004,-0.06379685302164484,-0.05573402631912327,0.2349996456964566,-0.29073367201557987,-0.36191448597498077,-0.31765690205612024,9.5,57.22891566265061
APD,50,150,-0.05236145688119265,0.04217799608484407,-0.09453945296603672,-0.21967014755988953,0.1980415230395934,-0.41771167059948294,-0.43709936021577767,-0.3176569020561204,7.5,58.81987577639751
